a,r,b
{sys_id:2621},"{type:от,sys_id:3304}",{sys_id:1324}
{sys_id:2693},"{type:от,sys_id:3456}",{sys_id:1324}
{sys_id:2688},"{type:от,sys_id:3242}",{sys_id:1324}
{sys_id:2682},"{type:от,sys_id:3230}",{sys_id:1324}
{sys_id:2613},"{type:от,sys_id:3143}",{sys_id:1324}
{sys_id:2634},"{type:от,sys_id:3131}",{sys_id:1324}
{sys_id:2651},"{type:от,sys_id:3085}",{sys_id:1324}
{sys_id:2548},"{type:от,sys_id:3001}",{sys_id:1324}
{sys_id:2561},"{type:от,sys_id:3047}",{sys_id:1324}
{sys_id:1209},"{type:от,sys_id:2338}",{sys_id:1324}
{sys_id:1294},"{type:от,sys_id:2440}",{sys_id:1324}
{sys_id:1344},"{type:от,sys_id:2468}",{sys_id:1324}
{sys_id:1348},"{type:от,sys_id:2481}",{sys_id:1324}
{sys_id:471},"{type:от,sys_id:1905}",{sys_id:1324}
{sys_id:475},"{type:от,sys_id:1918}",{sys_id:1324}
{sys_id:487},"{type:от,sys_id:1941}",{sys_id:1324}
{sys_id:3199},"{type:от,sys_id:3275}",{sys_id:1324}
{sys_id:3203},"{type:от,sys_id:3288}",{sys_id:1324}
{sys_id:3183},"{type:от,sys_id:3262}",{sys_id:1324}
{sys_id:3219},"{type:от,sys_id:3315}",{sys_id:1324}
{sys_id:3187},"{type:от,sys_id:3415}",{sys_id:1324}
{sys_id:3191},"{type:от,sys_id:3428}",{sys_id:1324}
{sys_id:3193},"{type:от,sys_id:3438}",{sys_id:1324}
{sys_id:3224},"{type:от,sys_id:3469}",{sys_id:1324}
{sys_id:3228},"{type:от,sys_id:3482}",{sys_id:1324}
{sys_id:3317},"{type:от,sys_id:3491}",{sys_id:1324}
{sys_id:500},"{type:от,sys_id:1965}",{sys_id:1324}
{sys_id:3431},"{type:от,sys_id:3377}",{sys_id:1324}
{sys_id:3501},"{type:от,sys_id:3723}",{sys_id:1324}
{sys_id:2441},"{type:от,sys_id:2256}",{sys_id:1324}
{sys_id:2438},"{type:от,sys_id:2253}",{sys_id:1324}
{sys_id:2461},"{type:от,sys_id:2283}",{sys_id:1324}
{sys_id:2445},"{type:от,sys_id:2305}",{sys_id:1324}
{sys_id:2451},"{type:от,sys_id:2523}",{sys_id:1324}
{sys_id:2455},"{type:от,sys_id:2536}",{sys_id:1324}
{sys_id:2504},"{type:от,sys_id:2519}",{sys_id:1324}
{sys_id:2471},"{type:от,sys_id:2587}",{sys_id:1324}
{sys_id:2491},"{type:от,sys_id:2351}",{sys_id:1324}
{sys_id:2506},"{type:от,sys_id:2566}",{sys_id:1324}
{sys_id:2508},"{type:от,sys_id:2637}",{sys_id:1324}
{sys_id:1308},"{type:от,sys_id:2662}",{sys_id:1324}
{sys_id:447},"{type:от,sys_id:2676}",{sys_id:1324}
{sys_id:2459},"{type:от,sys_id:2496}",{sys_id:1324}
{sys_id:2462},"{type:от,sys_id:2513}",{sys_id:1324}
{sys_id:3499},"{type:от,sys_id:3429}",{sys_id:1324}
{sys_id:493},"{type:от,sys_id:2264}",{sys_id:1324}
{sys_id:489},"{type:от,sys_id:1942}",{sys_id:1324}
{sys_id:466},"{type:от,sys_id:2426}",{sys_id:1324}
{sys_id:492},"{type:от,sys_id:1950}",{sys_id:1324}
{sys_id:2550},"{type:от,sys_id:2720}",{sys_id:1324}
{sys_id:2556},"{type:от,sys_id:2493}",{sys_id:1324}
{sys_id:2592},"{type:от,sys_id:2819}",{sys_id:1324}
{sys_id:2597},"{type:от,sys_id:2868}",{sys_id:1324}
{sys_id:443},"{type:от,sys_id:2874}",{sys_id:1324}
{sys_id:2577},"{type:от,sys_id:2844}",{sys_id:1324}
{sys_id:2583},"{type:от,sys_id:2960}",{sys_id:1324}
{sys_id:2640},"{type:от,sys_id:3013}",{sys_id:1324}
{sys_id:2502},"{type:принадлежит,sys_id:2547}",{sys_id:1324}
{sys_id:1324},"{type:имеет,sys_id:2402}",{sys_id:1325}
{sys_id:3567},"{type:позиция,номер:3,sys_id:3782}",{sys_id:1326}
